Month,Total,Male,Female
01/04/2016,11725,7710,4015
01/05/2016,11545,7610,3935
01/06/2016,11405,7485,3915
01/07/2016,11295,7370,3925
01/08/2016,11400,7400,4000
01/09/2016,11410,7355,4055
01/10/2016,11460,7400,4060
01/11/2016,11220,7260,3960
01/12/2016,10845,6995,3850
01/01/2017,11400,7420,3980
01/02/2017,11930,7800,4130
01/03/2017,12100,7990,4110
01/04/2017,12010,7865,4145
01/05/2017,11790,7720,4075
01/06/2017,11590,7565,4030
01/07/2017,11295,7275,4020
01/08/2017,11340,7250,4090
01/09/2017,11215,7070,4145
01/10/2017,11105,6995,4110
01/11/2017,11010,6975,4035
01/12/2017,10975,7020,3955
01/01/2018,11400,7380,4020
01/02/2018,11760,7645,4115
01/03/2018,11860,7750,4110
01/04/2018,11740,7665,4075
01/05/2018,11580,7550,4030
01/06/2018,11205,7240,3965
01/07/2018,11100,7085,4015
01/08/2018,11335,7175,4165
01/09/2018,11340,7150,4190
01/10/2018,11135,7045,4090
01/11/2018,10970,6920,4050
01/12/2018,11665,7300,4365
01/01/2019,12570,7860,4710
01/02/2019,13285,8325,4960
01/03/2019,14075,8775,5300