"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"2011","Darlington","E06000005","Total",48644,48608,9,27,48761,46670,2091,8407,18283,15198,5411,1057,370,35
"2011","County Durham","E06000047","Total",233485,233469,6,10,233537,223803,9734,44287,85322,89782,10709,1569,1548,320
"2011","Hartlepool","E06000001","Total",42102,42095,2,5,42119,40434,1685,6963,13714,15768,4809,377,379,109
"2011","Middlesbrough","E06000002","Total",59956,59914,15,27,60164,57203,2961,8171,24004,19773,6933,789,466,28
"2011","Northumberland","E06000057","Total",148008,147995,7,6,148043,138534,9509,37247,52263,41652,12663,2566,1231,421
"2011","Redcar and Cleveland","E06000003","Total",61899,61878,6,15,61965,59605,2360,11112,27265,17358,4384,1224,578,44
"2011","Stockton-on-Tees","E06000004","Total",82237,82210,10,17,82308,79159,3149,19943,33720,19365,7510,1089,613,68
"2011","Gateshead","E08000037","Total",92589,92582,3,4,92602,89154,3448,9759,38617,24928,16172,2519,541,66
"2011","Newcastle upon Tyne","E08000021","Total",121761,121711,19,31,121894,117153,4741,9447,41054,32049,31232,7210,874,28
"2011","North Tyneside","E08000022","Total",94528,94514,5,9,94566,91295,3271,9674,39436,23569,17112,3906,830,39
"2011","South Tyneside","E08000023","Total",69693,69690,1,2,69707,67167,2540,5598,28697,20818,11401,2572,595,26
"2011","Sunderland","E08000024","Total",123367,123304,25,38,123528,119758,3770,14006,53627,38523,13493,2771,1019,89
"2011","Blackburn with Darwen","E06000008","Total",59615,59585,14,16,59694,57353,2341,8242,16963,27179,5930,822,504,54
"2011","Blackpool","E06000009","Total",68984,68852,35,97,69343,64367,4976,5924,25279,20771,10103,5724,1367,175
"2011","Cheshire East","E06000049","Total",166236,166202,15,19,166329,159441,6888,58368,53498,35582,14620,2116,1365,780
"2011","Cheshire West and Chester","E06000050","Total",147568,147515,14,39,147746,141442,6304,43673,52927,32082,14696,2176,1173,1019
"2011","Halton","E06000006","Total",54686,54680,4,2,54694,53312,1382,10703,18078,19911,5176,424,287,115
"2011","Warrington","E06000007","Total",87943,87935,3,5,87962,85140,2822,20826,36023,21162,8381,1040,449,81
"2011","Allerdale","E07000026","Total",45433,45430,1,2,45438,42345,3093,12118,14704,14368,2785,726,546,191
"2011","Barrow-in-Furness","E07000027","Total",33018,33011,0,7,33058,31224,1834,3913,9526,15664,2939,435,287,294
"2011","Carlisle","E07000028","Total",50230,50177,7,46,50429,48342,2087,11588,17876,14414,5118,966,368,99
"2011","Copeland","E07000029","Total",32428,32420,4,4,32450,30536,1914,7549,12156,10072,1759,451,259,204
"2011","Eden","E07000030","Total",25305,25302,3,0,25308,23043,2265,9682,7588,5493,1641,506,259,139
"2011","South Lakeland","E07000031","Total",53422,53410,3,9,53466,46552,6914,16460,15191,13263,5025,2410,902,215
"2011","Bolton","E08000001","Total",120802,120748,8,46,121001,116371,4630,19681,41803,42171,14811,1477,971,87
"2011","Bury","E08000002","Total",81423,81414,5,4,81440,78113,3327,14699,30939,24269,9880,984,639,30
"2011","Manchester","E08000003","Total",213529,213243,103,183,214377,204969,9408,10634,64967,64692,61370,10236,2383,95
"2011","Oldham","E08000004","Total",92998,92984,5,9,93025,89703,3322,11466,31456,38340,10424,615,684,40
"2011","Rochdale","E08000005","Total",89966,89954,4,8,90015,87552,2463,13761,30151,32888,11603,854,651,107
"2011","Salford","E08000006","Total",108607,108469,40,98,109059,103556,5503,9327,37458,30761,28573,1900,937,103
"2011","Stockport","E08000007","Total",125810,125762,12,36,125975,121979,3996,26832,51895,27074,16736,2133,1230,75
"2011","Tameside","E08000008","Total",99146,99114,10,22,99235,94953,4282,11204,37173,35438,13320,1158,893,49
"2011","Trafford","E08000009","Total",97129,97062,24,43,97330,94484,2846,14622,42812,20948,15922,2129,868,29
"2011","Wigan","E08000010","Total",141519,141492,10,17,141592,136386,5206,24523,63829,39291,11681,1235,949,84
"2011","Burnley","E07000117","Total",39939,39929,3,7,39964,37550,2414,5203,11144,20009,2774,382,349,103
"2011","Chorley","E07000118","Total",46765,46754,4,7,46806,44919,1887,13776,15649,12590,3871,349,339,232
"2011","Fylde","E07000119","Total",37357,37328,9,20,37435,34885,2550,9814,11815,6530,5707,2388,485,696
"2011","Hyndburn","E07000120","Total",35982,35977,2,3,35999,34341,1658,4225,9377,18933,2696,337,289,142
"2011","Lancaster","E07000121","Total",60761,60685,30,46,60942,57822,3120,11067,22678,16128,7011,2889,644,525
"2011","Pendle","E07000122","Total",39383,39380,2,1,39387,37348,2039,5157,9004,22106,2323,342,378,77
"2011","Preston","E07000123","Total",60337,60288,12,37,60519,57567,2952,9846,19439,19170,9653,1673,705,33
"2011","Ribble Valley","E07000124","Total",25016,25015,0,1,25019,24045,974,7887,7101,7726,1482,250,265,308
"2011","Rossendale","E07000125","Total",30845,30840,4,1,30852,29058,1794,6233,7819,13444,2634,303,326,93
"2011","South Ribble","E07000126","Total",47702,47698,3,1,47715,46102,1613,13295,21545,8352,3643,322,368,190
"2011","West Lancashire","E07000127","Total",47973,47963,4,6,47994,45381,2613,14020,17444,10845,3935,388,306,1056
"2011","Wyre","E07000128","Total",49992,49965,5,22,50073,47281,2792,14166,20307,9026,3910,1206,564,894
"2011","Knowsley","E08000011","Total",62967,62964,1,2,62973,61323,1650,8094,25869,22148,6096,307,272,187
"2011","Liverpool","E08000012","Total",214149,213813,96,240,215939,206515,9424,15080,59429,87732,39534,11206,2917,41
"2011","Sefton","E08000014","Total",124008,123850,31,127,124605,117930,6675,18752,56512,23915,17233,6521,1632,40
"2011","St. Helens","E08000013","Total",79232,79219,5,8,79278,75736,3542,11460,36729,23951,5980,519,608,31
"2011","Wirral","E08000015","Total",145693,145611,32,50,145944,140583,5361,24382,59823,36170,17222,6317,2009,21
"2011","East Riding of Yorkshire","E06000011","Total",149854,149806,25,23,149958,143032,6926,51268,54026,29791,10103,2773,1559,438
"2011","Kingston upon Hull, City of","E06000010","Total",116495,116430,22,43,116651,112596,4055,8215,31375,57334,14700,3528,1420,79
"2011","North East Lincolnshire","E06000012","Total",72520,72498,14,8,72560,69707,2853,15003,23782,24009,6979,1866,823,98
"2011","North Lincolnshire","E06000013","Total",73628,73617,7,4,73651,70684,2967,24793,30385,10823,5541,827,725,557
"2011","York","E06000014","Total",86483,86413,21,49,86735,83552,3183,18983,30800,21224,12343,2399,827,159
"2011","Craven","E07000163","Total",27014,27008,6,0,27020,24583,2437,6799,7531,10025,1471,570,364,260
"2011","Hambleton","E07000164","Total",39896,39888,2,6,39923,38117,1806,16582,11877,8273,2110,471,357,253
"2011","Harrogate","E07000165","Total",70398,70342,8,48,70612,67169,3443,22171,21283,14091,7578,4008,899,582
"2011","Richmondshire","E07000166","Total",22797,22796,0,1,22803,20207,2596,7902,7955,5012,1127,394,182,231
"2011","Ryedale","E07000167","Total",24743,24743,0,0,24743,22524,2219,10075,7840,4888,1184,313,320,123
"2011","Scarborough","E07000168","Total",56443,56357,25,61,56720,49435,7285,12321,17138,12708,8233,5058,1156,106
"2011","Selby","E07000169","Total",36287,36283,3,1,36294,34559,1735,14555,12686,6264,2141,297,249,102
"2011","Barnsley","E08000016","Total",104975,104926,11,38,105123,100734,4389,23187,47159,26317,6790,886,735,49
"2011","Doncaster","E08000017","Total",130819,130757,17,45,131007,126487,4520,30115,58631,30944,8080,1416,1003,818
"2011","Rotherham","E08000018","Total",112018,111998,9,11,112068,108293,3775,23643,54727,21806,10267,813,800,12
"2011","Sheffield","E08000019","Total",236811,236648,39,124,237387,229928,7459,33901,86386,64830,44925,4912,2370,63
"2011","Bradford","E08000032","Total",207268,207034,64,170,208063,199296,8767,29081,74068,71595,26337,4446,1978,558
"2011","Calderdale","E08000033","Total",92173,92133,12,28,92310,88621,3689,13115,25239,39566,11808,1675,772,135
"2011","Kirklees","E08000034","Total",181107,180992,27,88,181545,173525,8020,36923,59537,61338,19039,3073,1451,184
"2011","Leeds","E08000035","Total",331819,331535,83,201,332674,320596,12078,48361,122757,88726,59519,10175,2755,381
"2011","Wakefield","E08000036","Total",146362,146312,15,35,146538,140414,6124,30316,64079,34315,14849,1691,998,290
"2011","Derby","E06000015","Total",106509,106444,22,43,106687,102271,4416,24580,41182,24904,12744,2175,843,259
"2011","Leicester","E06000016","Total",126703,126501,55,147,127383,123125,4258,13390,44880,40290,22341,4722,1694,66
"2011","Nottingham","E06000018","Total",131194,131060,47,87,131586,126131,5455,19407,41107,37654,26863,4951,1522,82
"2011","Rutland","E06000017","Total",16069,16066,3,0,16072,15002,1070,7466,4382,2894,878,184,153,115
"2011","Amber Valley","E07000032","Total",54933,54930,1,2,54942,52596,2346,19669,20035,11489,2632,518,520,79
"2011","Bolsover","E07000033","Total",34363,34362,1,0,34364,32801,1563,9672,15021,7625,1575,177,263,31
"2011","Chesterfield","E07000034","Total",48493,48483,2,8,48542,46796,1746,11606,21623,8892,5311,628,383,99
"2011","Derbyshire Dales","E07000035","Total",33481,33479,0,2,33489,30744,2745,13493,10118,6571,2149,609,482,67
"2011","Erewash","E07000036","Total",50530,50519,3,8,50572,48692,1880,14322,22329,9649,3135,568,505,64
"2011","High Peak","E07000037","Total",40771,40760,0,11,40821,38946,1875,9613,11915,14040,3414,1227,511,101
"2011","North East Derbyshire","E07000038","Total",44050,44049,0,1,44052,43070,982,16044,19177,5905,2211,212,304,199
"2011","South Derbyshire","E07000039","Total",40378,40376,0,2,40382,38992,1390,16056,14103,7327,2050,313,266,267
"2011","Blaby","E07000129","Total",39669,39667,2,0,39671,38686,985,14331,18729,4058,2013,176,246,118
"2011","Charnwood","E07000130","Total",69220,69195,10,15,69305,66516,2789,21025,26657,12991,6822,866,631,313
"2011","Harborough","E07000131","Total",36101,36097,3,1,36110,34898,1212,17203,10328,5489,2354,308,267,161
"2011","Hinckley and Bosworth","E07000132","Total",46909,46905,1,3,46926,45377,1549,17382,17874,7511,3270,332,390,167
"2011","Melton","E07000133","Total",22185,22179,0,6,22212,21490,722,9011,7970,3485,1215,310,161,60
"2011","North West Leicestershire","E07000134","Total",40463,40461,1,1,40472,39128,1344,15704,14233,7347,2133,368,332,355
"2011","Oadby and Wigston","E07000135","Total",22481,22480,1,0,22482,21339,1143,6601,10691,3369,1498,156,163,4
"2011","Boston","E07000136","Total",28345,28336,7,2,28357,27291,1066,12246,8639,4169,2523,439,204,137
"2011","East Lindsey","E07000137","Total",65108,65048,22,38,65270,60890,4380,32997,17252,7368,3784,1684,957,1228
"2011","Lincoln","E07000138","Total",42556,42531,12,13,42623,39825,2798,8120,12228,13636,7118,1098,380,43
"2011","North Kesteven","E07000139","Total",47551,47548,3,0,47554,45972,1582,25911,14245,4887,1571,238,243,459
"2011","South Holland","E07000140","Total",38661,38650,3,8,38695,37264,1431,21373,11430,3776,1238,382,275,221
"2011","South Kesteven","E07000141","Total",59530,59524,0,6,59552,57344,2208,25019,18165,10869,3892,758,463,386
"2011","West Lindsey","E07000142","Total",40198,40196,1,1,40201,38385,1816,20151,10785,6778,1464,261,266,496
"2011","Corby","E07000150","Total",26181,26181,0,0,26181,25215,966,5527,9752,7825,2726,188,113,50
"2011","Daventry","E07000151","Total",32618,32614,2,2,32625,31647,978,13931,10184,6163,1818,231,249,49
"2011","East Northamptonshire","E07000152","Total",37326,37320,3,3,37339,35662,1677,13409,12290,8299,2547,331,297,166
"2011","Kettering","E07000153","Total",41462,41452,5,5,41486,39701,1785,11992,14012,10198,4319,623,285,57
"2011","Northampton","E07000154","Total",91484,91407,23,54,91700,88731,2969,19595,26273,29228,14009,1878,634,83
"2011","South Northamptonshire","E07000155","Total",36044,36041,2,1,36048,34717,1331,15618,12488,5477,1829,287,236,113
"2011","Wellingborough","E07000156","Total",33077,33073,3,1,33083,32057,1026,8543,11303,9106,3313,389,237,192
"2011","Ashfield","E07000170","Total",52796,52786,2,8,52829,50931,1898,15190,22309,10867,3439,518,456,50
"2011","Bassetlaw","E07000171","Total",49401,49392,5,4,49419,47667,1752,16794,20710,8153,2728,460,352,222
"2011","Broxtowe","E07000172","Total",48666,48658,4,4,48683,46820,1863,17598,17253,8182,4699,420,440,91
"2011","Gedling","E07000173","Total",50864,50859,2,3,50878,49349,1529,19370,17535,7962,4899,454,400,258
"2011","Mansfield","E07000174","Total",46859,46848,2,9,46895,44928,1967,13543,20038,8775,3639,482,324,94
"2011","Newark and Sherwood","E07000175","Total",50936,50931,0,5,50955,48773,2182,19198,18866,8394,3216,632,350,299
"2011","Rushcliffe","E07000176","Total",47349,47339,2,8,47385,45835,1550,21899,14680,5396,3647,1074,316,373
"2011","Herefordshire, County of","E06000019","Total",82549,82512,13,24,82676,78319,4357,35021,22585,14165,6973,2035,957,940
"2011","Shropshire","E06000051","Total",135572,135544,6,22,135645,129674,5971,53529,45289,22807,8995,2419,1543,1063
"2011","Stoke-on-Trent","E06000021","Total",111865,111830,17,18,111977,107575,4402,15814,49966,33094,10973,1271,782,77
"2011","Telford and Wrekin","E06000020","Total",68714,68707,4,3,68730,66608,2122,20945,25001,15534,5981,548,444,277
"2011","Cannock Chase","E07000192","Total",41816,41812,0,4,41828,40664,1164,12245,19642,4999,4160,357,349,76
"2011","East Staffordshire","E07000193","Total",49103,49094,3,6,49128,47251,1877,15263,15464,12229,4906,641,435,190
"2011","Lichfield","E07000194","Total",43168,43160,4,4,43187,41224,1963,16467,14956,6380,4399,421,308,256
"2011","Newcastle-under-Lyme","E07000195","Total",54220,54204,9,7,54254,52574,1680,13301,23761,10963,5307,549,324,49
"2011","South Staffordshire","E07000196","Total",45621,45618,3,0,45624,44458,1166,17794,17906,4862,3475,354,384,849
"2011","Stafford","E07000197","Total",57510,57477,10,23,57657,55703,1954,21342,18870,9885,5686,1095,456,323
"2011","Staffordshire Moorlands","E07000198","Total",43585,43583,1,1,43592,41772,1820,17544,16333,7220,1453,479,482,81
"2011","Tamworth","E07000199","Total",32260,32257,2,1,32264,31617,647,8111,12238,7259,3908,405,197,146
"2011","North Warwickshire","E07000218","Total",27033,27032,0,1,27035,25812,1223,7642,10577,6342,1782,274,273,145
"2011","Nuneaton and Bedworth","E07000219","Total",54167,54143,7,17,54249,52711,1538,12764,20301,14156,5816,608,385,219
"2011","Rugby","E07000220","Total",43192,43174,6,12,43237,41875,1362,12219,14468,10747,4600,664,385,154
"2011","Stratford-on-Avon","E07000221","Total",54781,54772,3,6,54814,51928,2886,20169,16588,10617,5056,847,522,1015
"2011","Warwick","E07000222","Total",60427,60380,5,42,60631,58679,1952,14748,18709,13049,10432,2818,761,114
"2011","Birmingham","E08000025","Total",423633,423109,191,333,425095,410736,14359,46449,147412,125101,86595,14063,5341,134
"2011","Coventry","E08000026","Total",132891,132699,42,150,133696,128592,5104,13788,36805,57450,21397,2738,1294,224
"2011","Dudley","E08000027","Total",133908,133872,10,26,134022,129867,4155,28835,64870,21636,15743,1635,1221,82
"2011","Sandwell","E08000028","Total",127072,127029,20,23,127196,121498,5698,14273,55270,33357,21314,1567,1344,71
"2011","Solihull","E08000029","Total",88229,88220,7,2,88250,86056,2194,24984,33110,13928,14861,596,632,139
"2011","Walsall","E08000030","Total",110943,110901,18,24,111038,107822,3216,20187,46779,24739,16832,1072,1211,218
"2011","Wolverhampton","E08000031","Total",105825,105739,30,56,106109,102177,3932,16659,47409,18822,19704,2380,1043,92
"2011","Bromsgrove","E07000234","Total",39374,39371,1,2,39385,38290,1095,14761,14238,5730,3493,423,360,380
"2011","Malvern Hills","E07000235","Total",33689,33676,6,7,33717,32212,1505,14757,10305,3713,2903,1191,413,435
"2011","Redditch","E07000236","Total",35371,35349,6,16,35439,34722,717,9493,10592,9653,4928,581,169,23
"2011","Worcester","E07000237","Total",43272,43236,9,27,43415,42042,1373,9498,15077,10000,6849,1325,594,72
"2011","Wychavon","E07000238","Total",51930,51915,9,6,51968,49466,2502,21469,15388,8758,4230,802,511,810
"2011","Wyre Forest","E07000239","Total",45008,44989,7,12,45059,42985,2074,13178,16472,8349,4418,787,494,1361
"2011","Bedford","E06000055","Total",67333,67245,29,59,67653,63812,3841,18554,21776,14818,8458,2729,711,607
"2011","Central Bedfordshire","E06000056","Total",108692,108677,7,8,108733,104399,4334,30656,36801,27482,10749,1134,878,1033
"2011","Luton","E06000032","Total",76014,75926,32,56,76295,74293,2002,9772,30616,19068,13800,2223,693,123
"2011","Peterborough","E06000031","Total",76760,76737,9,14,76826,74023,2803,20851,23918,19376,10323,1298,590,470
"2011","Southend-on-Sea","E06000033","Total",78603,78469,25,109,79126,74678,4448,12512,24457,14479,14733,11300,1611,34
"2011","Thurrock","E06000034","Total",63869,63858,6,5,63889,62353,1536,7609,21022,20610,13349,570,547,182
"2011","Cambridge","E07000008","Total",48288,48196,26,66,48835,46714,2121,5093,12905,14512,13641,2104,497,83
"2011","East Cambridgeshire","E07000009","Total",35747,35741,2,4,35760,34614,1146,15144,11369,6281,2024,376,219,347
"2011","Fenland","E07000010","Total",42087,42074,3,10,42124,40620,1504,19178,12175,6665,2931,478,331,366
"2011","Huntingdonshire","E07000011","Total",71399,71392,5,2,71414,69333,2081,28653,21464,13507,6079,777,470,464
"2011","South Cambridgeshire","E07000012","Total",61724,61710,11,3,61751,59960,1791,25576,20662,10911,3098,509,308,687
"2011","Basildon","E07000066","Total",74032,74029,2,1,74039,72746,1293,16090,19051,26026,11820,502,228,322
"2011","Braintree","E07000067","Total",62704,62694,3,7,62743,61043,1700,17969,21285,15065,7103,753,388,180
"2011","Brentwood","E07000068","Total",32067,32059,2,6,32088,30646,1442,9945,10230,5036,5748,705,327,97
"2011","Castle Point","E07000069","Total",37682,37680,1,1,37693,36440,1253,15677,14361,3074,2629,332,345,1275
"2011","Chelmsford","E07000070","Total",71247,71240,2,5,71273,69667,1606,21258,22388,14576,11351,756,468,476
"2011","Colchester","E07000071","Total",74538,74493,11,34,74731,71634,3097,23264,22334,13917,13327,1288,478,123
"2011","Epping Forest","E07000072","Total",54409,54405,3,1,54433,51991,2442,12696,17183,12384,10205,665,567,733
"2011","Harlow","E07000073","Total",35719,35708,3,8,35752,34620,1132,3356,5298,18156,8496,269,137,40
"2011","Maldon","E07000074","Total",27210,27209,0,1,27212,25817,1395,12047,7995,4287,1896,267,263,457
"2011","Rochford","E07000075","Total",34444,34442,0,2,34461,33564,897,11345,16176,2767,3248,184,232,509
"2011","Tendring","E07000076","Total",66928,66899,10,19,67036,62105,4931,26564,20629,7978,8544,1781,840,700
"2011","Uttlesford","E07000077","Total",32862,32862,0,0,32862,31316,1546,13669,10000,5454,2924,389,221,205
"2011","Broxbourne","E07000095","Total",39192,39185,4,3,39207,37658,1549,5903,11090,12283,8852,474,462,143
"2011","Dacorum","E07000096","Total",61942,61936,2,4,61969,59938,2031,13214,14939,19535,12400,938,600,343
"2011","East Hertfordshire","E07000242","Total",58346,58341,2,3,58356,56577,1779,16294,17459,13397,9615,912,562,117
